ds,Close,High,Low,Open,Volume
2015-12-07,1504.5550537109375,1536.4568470189329,1501.7880545063165,1525.7966637666145,213830
2015-12-08,1511.6234130859375,1532.285668013297,1499.5727695988396,1504.383816108952,255070
2015-12-09,1457.9515380859375,1517.4863187973287,1451.4997331327577,1510.9650361753615,464660
2015-12-10,1486.8406982421875,1492.4257302053318,1453.5114426245368,1472.4819032195724,438360
2015-12-11,1442.4478759765625,1492.425631389122,1432.172422668443,1487.790769179839,614540
2015-12-14,1424.43212890625,1443.7594803783882,1399.7282923732687,1422.9026018496472,659440
2015-12-15,1470.3590087890625,1476.2036198480405,1415.4869246517787,1427.4448918330454,418850
2015-12-16,1489.065185546875,1509.1109623035172,1473.8813741640508,1473.8860135519608,382320
2015-12-17,1508.842041015625,1518.3806221595596,1482.228702584332,1496.1332870363426,309700
2015-12-18,1498.015380859375,1508.207438865368,1478.0761935378612,1503.1785678424824,1118880
2015-12-21,1486.0294189453125,1513.9683804181616,1480.3656312090372,1492.4348298574923,378080
2015-12-22,1490.1868896484375,1500.7636764175145,1484.08281260346,1492.425564204604,165960
2015-12-23,1500.7498779296875,1505.403297854341,1484.0968491170404,1499.4567332234592,172870
2015-12-24,1499.1136474609375,1510.965021351917,1493.7696379631643,1501.7879719039547,123040
2015-12-28,1538.6397705078125,1543.4090616591307,1501.505314628075,1501.5933498495738,381400
2015-12-29,1548.326904296875,1551.3070893025574,1530.2463005404506,1538.8670771914706,277630
2015-12-30,1532.2667236328125,1548.3219479620207,1523.9193331676408,1547.9511363940942,288980
2015-12-31,1562.4627685546875,1568.437054947662,1533.3881796827804,1537.8469705426544,340390
2016-01-01,1610.2298583984375,1639.7771044403062,1554.7830571212476,1564.6367785235605,599660
2016-01-04,1621.76611328125,1666.2236751065757,1616.644567940654,1624.0510686525995,917430
2016-01-05,1590.67529296875,1647.3364785444508,1586.133105767921,1629.1539247328274,563490
2016-01-06,1624.5238037109375,1632.8572767054113,1596.2465055426728,1602.4571754877438,487940
2016-01-07,1579.15771484375,1617.4138846852873,1568.3909392482701,1612.0050368296493,496240
2016-01-08,1598.230224609375,1620.3477727340148,1581.414931512717,1581.414931512717,282520
2016-01-11,1598.0169677734375,1613.8588938705398,1566.8614400408255,1590.6845846535589,302910
2016-01-12,1582.0455322265625,1612.932207233997,1574.087396085713,1612.9182890673044,296900
2016-01-13,1581.665283203125,1602.5499994323923,1545.6987072710865,1602.5499994323923,450700
2016-01-14,1574.74072265625,1584.6778394014125,1552.674095386318,1565.6563480800226,370670
